id,title,score,scored_by,rank,popularity,members,favorites,genres
1,Cowboy Bebop,8.75,1041343,48,42,2016701,88247,"Action, Award Winning, Sci-Fi"
2,Cowboy Bebop: Tengoku no Tobira,8.38,228801,233,651,405049,1756,"Action, Sci-Fi"
3,Trigun,8.22,395188,387,265,818414,17270,"Action, Adventure, Sci-Fi"
4,Witch Hunter Robin,7.23,45897,3354,1982,126459,690,"Action, Drama, Mystery, Supernatural"
5,Bouken Ou Beet,6.92,6990,4894,5776,16496,18,"Action, Adventure, Fantasy"
6,Eyeshield 21,7.91,92756,857,1396,194008,2107,Sports
7,Hachimitsu to Clover,7.98,86412,726,962,282350,4196,"Comedy, Drama, Romance"
8,Hungry Heart: Wild Striker,7.54,14061,1906,4784,26540,245,Sports
9,Initial D Fourth Stage,8.17,116682,452,1297,209904,1407,"Action, Drama"
10,Monster,8.89,491691,25,119,1284263,60135,"Drama, Mystery, Suspense"
11,Naruto,8.02,2103858,667,9,3058933,84997,"Action, Adventure, Fantasy"
12,One Piece,8.73,1485562,52,17,2608442,246039,"Action, Adventure, Fantasy"
13,Tennis no Oujisama,7.84,87897,998,1384,195610,3062,Sports
14,Ring ni Kakero 1,6.35,1837,8203,8972,5558,3,Sports
15,School Rumble,7.88,153865,902,788,342073,5370,"Comedy, Romance"
16,Sunabouzu,7.36,57614,2636,1731,149532,871,"Action, Adventure, Comedy, Sci-Fi, Ecchi"
17,Texhnolyze,7.75,62349,1215,967,281224,5569,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense"
18,Trinity Blood,7.28,83402,3017,1379,196858,1398,"Action, Fantasy, Sci-Fi"
19,Yakitate!! Japan,7.91,42950,836,2269,104230,943,"Comedy, Gourmet"
20,Zipang,7.49,8471,2080,4910,24951,203,"Action, Drama, Sci-Fi"
21,Shinseiki Evangelion,8.36,1185491,252,45,1981621,115160,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense"
22,Shinseiki Evangelion Movie: Shi to Shinsei,7.49,153047,2070,987,276679,793,"Drama, Sci-Fi, Suspense"
23,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,679144,119,178,1017047,31626,"Avant Garde, Drama, Sci-Fi, Suspense"
24,Kenpuu Denki Berserk,8.61,401180,102,301,745341,30972,"Action, Adventure, Drama, Fantasy, Horror"
25,Koukaku Kidoutai,8.27,355467,328,340,689735,14056,"Award Winning, Mystery, Sci-Fi, Suspense"
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,143378,69,934,290035,6428,"Action, Drama, Romance"
27,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,246253,319,477,519957,10324,"Action, Comedy, Romance"
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,28580,1820,3312,54986,97,Drama
29,Akira,8.16,553639,474,208,936594,14752,"Action, Horror, Sci-Fi"
30,.hack//Sign,6.94,87104,4811,1408,192175,1471,"Adventure, Fantasy, Mystery"
31,Aa! Megami-sama!,7.27,28129,3101,3224,57614,265,"Comedy, Romance, Supernatural"
32,Aa! Megami-sama! (TV),7.31,80024,2875,1596,167779,1161,"Comedy, Romance, Supernatural"
33,Tenshi Kinryouku,6.23,27738,8957,3427,52019,187,"Action, Drama, Romance, Supernatural"
34,Kidou Tenshi Angelic Layer,7.26,29920,3167,3105,61953,329,"Award Winning, Comedy, Drama, Sci-Fi"
35,Ai Yori Aoshi,7.1,55449,4071,2121,116000,474,"Comedy, Drama, Romance"
36,Appleseed (Movie),7.05,42672,4273,2734,77475,189,Sci-Fi
37,Arc the Lad,6.48,6512,7427,5613,17852,15,"Action, Adventure, Fantasy, Horror, Sci-Fi"
38,Avenger,5.85,7366,11098,5480,19037,21,"Adventure, Fantasy, Sci-Fi"
39,Beck,8.29,149031,306,725,368782,9075,Drama
40,Blue Gender,7.01,32041,4515,2526,87958,454,"Adventure, Drama, Horror, Sci-Fi"
41,Chobits,7.39,263227,2518,490,508192,4289,"Comedy, Drama, Romance, Sci-Fi, Ecchi"
42,Chrno Crusade,7.59,106938,1692,1167,235567,1962,"Action, Romance, Supernatural"
43,D.N.Angel,7.15,101012,3761,1418,190588,1296,"Action, Comedy, Fantasy, Romance"
44,D.C.: Da Capo,6.7,31570,6118,2702,78695,198,"Drama, Romance"
45,DearS,6.54,81995,7058,1680,155568,363,"Comedy, Romance, Sci-Fi, Ecchi"
46,Rozen Maiden,7.4,101035,2452,1257,216966,2103,"Action, Drama, Supernatural"
